Index,title,url,category,channel,acquirers,upper_text,bottom_text
0,Mastercard,/resources/logos/payment_methods/images/mastercard.svg,Credit cards,"Online In-person","card complete Service Bank AG
Chase Paymentech Europe Ltd (J.P. Morgan)
Clearhaus 
Elavon Merchant Services
European Merchant Services EMS 
First Cash Solution 
hobex AG 
Ingenico Payment Services GmbH 
LogPay Financial Services GmbH 
Lloyds Bank Cardnet 
Nets Schweiz AG 
PAYONE GmbH 
PAYONE GmbH, Austrian branch 
PayU 
Société Générale
Worldline Financial Services (Europe) S.A. 
Worldline Switzerland Ltd. 
WorldPay","Mastercard is one of the two leading global credit and debit card networks, along with Visa, with extensive worldwide distribution.",
1,Visa,/resources/logos/payment_methods/images/visa.svg,Credit cards,"Online In-person","Acquirer
card complete Service Bank AG 
Chase Paymentech Europe Ltd (J.P. Morgan) 
Clearhaus 
Elavon Merchant Services 
European Merchant Services EMS 
First Cash Solution 
hobex AG 
Ingenico Payment Services GmbH 
LogPay Financial Services GmbH 
Lloyds Bank Cardnet
Nets Schweiz AG
PAYONE GmbH 
PAYONE GmbH, Austrian branch 
PayU 
Société Générale
Worldline Financial Services (Europe) S.A. 
Worldline Switzerland Ltd. 
WorldPay","Visa is a top international credit and debit card network, alongside Mastercard, with one of the broadest global acceptance networks.",
2,American Express,/resources/logos/payment_methods/images/amex.svg,Credit cards,"Online In-person","American Express International Inc.
LogPay Financial Services GmbH 
Swisscard AECS AG (CH) ","American Express (Amex) positions itself as a premium credit card provider, offering unique benefits such as global assistance, comprehensive insurance services, travel booking, and fast card replacement, typically within 24 hours.",
3,Diners Club,/resources/logos/payment_methods/images/diners.svg,Credit cards,"Online In-Person","DC Bank AG (AT)
Elavon Merchant Service (DE) 
First Cash Solution 
Ingenico Payment Services GmbH 
LogPay Financial Services GmbH 
Worldline Switzerland Ltd. 
Worldline Financial Services (Europe) S.A. ",Diners Club does not have the same widespread acceptance as its competitors, but it is favored by business travelers due to its access to numerous airport lounges around the world.",
4,Discover,/resources/logos/payment_methods/images/discover.svg,Credit cards,"Online In-person","DC Bank AG (AT)
Elavon Merchant Service (DE) 
First Cash Solution 
Ingenico Payment Services GmbH 
Worldline Switzerland Ltd. 
Worldline Financial Services (Europe) S.A. ","Discover Card is a major credit card in the United States, with over 50 million users and acceptance at approximately 4 million merchants across the USA and Mexico.",
5,JCB,/resources/logos/payment_methods/images/jcb.svg,Credit cards,"Online In-person","card complete Service Bank AG
First Cash Solution 
LogPay Financial Services GmbH 
PAYONE GmbH 
Worldline Switzerland Ltd. 
Worldline Financial Services (Europe) S.A.","JCB is a payment card predominantly issued in Japan and used widely across Asia. In Europe, its acceptance is focused on luxury retailers, high-end hotels, and merchants catering to tourists from Japan and Asia.",
6,China UnionPay,/resources/logos/payment_methods/images/china-union-pay.svg,Credit cards,"Online In-person","Acquirer
Concardis GmbH 
Concardis GmbH Vertrieb Schweiz 
First Cash Solution 
Worldline Switzerland Ltd. 
Worldline Financial Services (Europe) S.A.","China UnionPay, commonly referred to as UnionPay or CUP, is a major financial services provider in China, offering a widespread card scheme primarily used for domestic transactions. It is gaining more acceptance in Europe.",
7,AirPlus,/resources/logos/payment_methods/images/airplus-uatp.svg,Credit cards,Online,AirPlus,"AirPlus International offers business travel management solutions, simplifying the handling of travel expenses and payments for companies.",
8,Maestro,/resources/logos/payment_methods/images/maestro.svg,Debit cards,"Online In-person","card complete Service Bank AG
Concardis GmbH 
Elavon Merchant Services 
European Merchant Services EMS 
Ingenico Payment Services GmbH 
PAYONE GmbH 
Société Générale
Worldline Financial Services (Europe) S.A. 
WorldPay","Maestro is a debit card service from Mastercard International, enabling international transactions. While accepted online in various countries, internet payments with Maestro are not yet available in Switzerland.",
9,V Pay,/resources/logos/payment_methods/images/v-pay.svg,Debit cards,"Online In-Person","card complete Service Bank AG
Chase Paymentech Europe Ltd (J.P. Morgan)
Concardis GmbH
Concardis GmbH, Vertrieb Schweiz
Elavon Merchant Services
European Merchant Services EMS
EVO Payments International GmbH
hobex AG
Ingenico Payment Services GmbH
Lloyds Bank Cardnet
Nets Schweiz AG
PAYONE GmbH
PAYONE GmbH, Austrian branch
Société Générale
Wirecard AG
Worldline Financial Services (Europe) S.A.
Worldline Switzerland Ltd.
WorldPay","V Pay, developed by Visa Europe, is a chip-and-PIN-based debit card designed for European consumers. It allows secure payments and ATM withdrawals, contributing to the Single European Payments Area (SEPA).",
10,Postfinance Card,/resources/logos/payment_methods/images/postfinance-card.svg,Debit cards,"Online In-person",PostFinance AG,"The PostFinance Card allows Swiss customers to make payments online or through mobile devices, using either the PostFinance Card or PostFinance E-Finance. It is particularly popular among younger users under 18, as credit cards are restricted to adults. Merchants can activate both payment methods via the 'eCom' solution offered by Planet.","The PostFinance Card has over 3 million cardholders in Switzerland - with an above-average number of people below the age of 18 (credit cards may only be held from the age of 18)."
11,DK,/resources/logos/payment_methods/images/dankort.svg,Debit cards,Online,Dankort / Nets Holding A/S,"Dankort is the most widely used payment card in Denmark, serving as the preferred method for everyday transactions, including online payments. Many Dankort cards are co-branded with Visa, allowing for international use.",
12,PayPal,/resources/logos/payment_methods/images/paypal.svg,Wallets,Online,,"PayPal is one of the leading online payment services, offering a fast and easy way to receive payments. Customers can pay with just a few clicks, which can boost your sales by an average of 23.1% (source: Payment in E-Commerce, IZ 2013, ECC Cologne). With over 305 million active accounts in more than 200 markets and 25 currencies worldwide, PayPal is widely used, including by over 1.2 million active customers in Switzerland.<br><br>PayPal offers transparent fees with no monthly minimum sales requirements; fees are only charged when you receive a payment. Integration with PayPal is seamless, providing smooth management of payments in your online shop, all connected to both your front and backend systems.<br><br>When a customer chooses to pay with PayPal on your website, they are securely redirected to PayPal’s platform, where they log in with their email address and password, confirm the payment with a click, and the transaction is completed instantly. This allows you to ship goods immediately, without waiting for days for payment confirmation, ensuring quick service and customer satisfaction. Additionally, the PayPal Express Checkout button on product and cart pages enables faster checkout, helping increase sales.<br><br>For Planet users, PayPal is easily integrated via a standardised interface, allowing for quick setup with no additional integration effort required.",
13,Amazon Pay,/resources/logos/payment_methods/images/amazon-pay.svg,Wallets,"Online In-Person",,"Amazon Pay allows merchants to offer a payment solution backed by Amazon’s advanced fraud and risk management. With access to over 300 million trusted Amazon customers, it provides a reliable and familiar payment method, enhancing consumer confidence and boosting potential sales.",
14,Apple Pay,/resources/logos/payment_methods/images/apple-pay.svg,Wallets,"Online In-Person",,"Apple Pay is a payment system designed for Apple products such as the iPhone, iPad, MacBook Pro with Touch Bar, and Apple Watch. It supports NFC payments (card present), in-app purchases (card not present, requiring a native iOS app), and browser-based solutions through Apple Pay Web.<br><br>For in-app purchases on iOS, a native app is required, and browser-based integrations can be set up using Apple Pay Web. Technical documentation and client-side integration guides are available directly from Apple.<br><br>To process Apple Pay transactions, a payment processing certificate is needed, which can be created through Apple's developer platform. This certificate is required for both native apps and web-based transactions.",
